pur_cust,pur_prod,pur_date,pur_amount,pur_store_id
0,14,2015-04-06,41.56,6
1,4,2015-04-12,15.47,12
1,0,2015-04-04,80.38,8
8,0,2015-04-13,55.90,9
4,1,2015-04-08,3.13,18
8,7,2015-04-11,84.69,16
5,9,2015-04-03,32.96,16
1,6,2015-04-14,85.15,6
0,12,2015-04-14,75.98,13
6,7,2015-04-02,3.59,18
4,12,2015-04-12,15.90,18
3,1,2015-04-08,1.08,3
8,5,2015-04-02,21.71,12
5,7,2015-04-10,98.68,19
11,13,2015-04-06,27.33,2
6,13,2015-04-01,19.55,7
11,3,2015-04-12,31.14,7
11,12,2015-04-09,36.20,15
7,1,2015-04-07,34.13,17
1,8,2015-04-06,12.75,3
10,14,2015-04-11,46.76,20
5,13,2015-04-11,43.69,10
4,12,2015-04-04,38.83,4
7,14,2015-04-14,19.87,10
10,11,2015-04-11,8.80,20
6,7,2015-04-03,49.07,16
0,11,2015-04-04,55.55,18
4,4,2015-04-08,19.87,16
7,10,2015-04-07,54.03,18
0,12,2015-04-03,61.43,14
7,2,2015-04-12,31.61,15
11,0,2015-04-11,4.76,2
5,5,2015-04-11,12.63,15
10,2,2015-04-14,85.69,6
0,10,2015-04-08,7.24,1
11,10,2015-04-06,82.26,15
3,1,2015-04-06,68.55,18
7,13,2015-04-05,88.12,13
2,7,2015-04-01,11.33,4
8,3,2015-04-13,87.84,15
11,3,2015-04-11,50.21,8
9,4,2015-04-11,46.76,9
5,13,2015-04-12,10.71,3
11,10,2015-04-08,25.72,8
10,7,2015-04-02,93.79,10
0,4,2015-04-09,25.48,7
11,0,2015-04-12,82.05,18
6,5,2015-04-11,18.54,4
0,11,2015-04-04,51.31,6
2,6,2015-04-07,35.60,6
2,12,2015-04-05,93.53,12
6,14,2015-04-11,34.96,8
11,9,2015-04-11,54.03,9
10,8,2015-04-09,38.59,18
7,12,2015-04-07,99.64,16
4,14,2015-04-04,88.34,16
0,10,2015-04-09,67.70,6
3,3,2015-04-07,6.49,13
6,9,2015-04-07,82.22,18
4,9,2015-04-03,15.70,18
4,5,2015-04-04,62.66,3
10,6,2015-04-06,60.91,12
3,7,2015-04-03,56.37,19
3,12,2015-04-12,39.21,2
5,14,2015-04-06,23.69,7
2,7,2015-04-05,87.89,7
4,4,2015-04-10,66.27,15
4,12,2015-04-01,51.43,17
6,4,2015-04-03,10.11,3
0,0,2015-04-13,40.95,20
7,0,2015-04-13,67.58,10
10,7,2015-04-02,1.19,4
3,4,2015-04-04,73.04,10
5,14,2015-04-06,95.98,20
0,4,2015-04-08,42.56,16
7,1,2015-04-09,62.00,18
11,14,2015-04-02,59.16,16
2,7,2015-04-05,9.50,18
3,3,2015-04-13,4.91,14
9,14,2015-04-11,53.05,15
9,6,2015-04-04,38.31,2
8,4,2015-04-10,81.29,15
0,12,2015-04-02,19.60,6
1,3,2015-04-05,78.52,1
9,9,2015-04-04,82.18,15
10,12,2015-04-06,68.11,18
5,2,2015-04-06,42.81,13
3,4,2015-04-06,7.22,4
6,6,2015-04-07,47.42,15
8,0,2015-04-14,17.74,8
8,0,2015-04-01,83.56,9
2,7,2015-04-14,61.42,3
10,10,2015-04-02,37.94,8
1,7,2015-04-14,77.37,10
8,3,2015-04-01,4.88,7
4,13,2015-04-11,46.09,18
7,9,2015-04-11,51.78,4
8,2,2015-04-06,67.58,6
5,1,2015-04-10,23.18,6
1,2,2015-04-10,14.94,12
8,2,2015-04-05,85.52,8
2,8,2015-04-11,63.90,9
3,9,2015-04-11,28.81,18
8,9,2015-04-14,46.20,16
0,13,2015-04-08,50.29,16
1,0,2015-04-02,45.47,6
5,0,2015-04-04,63.24,13
10,7,2015-04-14,45.57,18
2,10,2015-04-02,47.73,18
6,7,2015-04-04,19.12,3
8,14,2015-04-03,29.49,12
10,6,2015-04-05,4.46,19
1,8,2015-04-07,81.79,2
6,1,2015-04-02,31.87,7
9,1,2015-04-12,45.80,7
9,6,2015-04-14,65.43,15
2,1,2015-04-14,72.76,17
6,6,2015-04-05,96.61,3
9,2,2015-04-08,83.46,20
8,0,2015-04-13,38.68,10
6,11,2015-04-12,45.47,4
9,6,2015-04-03,1.08,10
5,3,2015-04-04,25.31,20
10,9,2015-04-08,34.73,16
4,14,2015-04-07,99.27,18
2,2,2015-04-14,77.19,16
8,3,2015-04-13,74.20,18
4,11,2015-04-07,36.73,14
3,2,2015-04-12,26.10,15
9,1,2015-04-10,17.79,2
10,0,2015-04-08,27.99,15
10,11,2015-04-14,98.05,6
8,9,2015-04-01,3.76,1
2,14,2015-04-12,87.33,15
10,12,2015-04-08,86.73,18
10,13,2015-04-04,15.30,13
5,10,2015-04-10,60.04,4
10,9,2015-04-06,95.39,15
11,1,2015-04-05,95.72,8
8,12,2015-04-01,43.92,9
2,8,2015-04-08,49.22,3
0,11,2015-04-03,65.30,8
9,1,2015-04-12,48.65,10
10,14,2015-04-11,37.03,7
0,0,2015-04-14,100.32,18
11,11,2015-04-01,49.71,4
6,6,2015-04-09,64.65,6
0,4,2015-04-10,88.21,6
3,13,2015-04-05,56.55,12
9,4,2015-04-12,92.19,8
0,7,2015-04-08,78.75,9
5,0,2015-04-03,82.49,18
8,1,2015-04-09,55.76,16
7,7,2015-04-05,82.09,16
0,11,2015-04-03,77.89,6
4,7,2015-04-10,5.03,13
3,7,2015-04-06,56.83,18
11,13,2015-04-03,25.55,18
10,7,2015-04-02,97.92,3
2,1,2015-04-04,56.41,12
6,13,2015-04-14,56.36,19
6,3,2015-04-10,2.73,2
1,6,2015-04-02,8.82,7
9,8,2015-04-06,43.01,7
2,10,2015-04-01,75.41,15
9,10,2015-04-11,21.32,17
2,4,2015-04-03,44.90,3
7,12,2015-04-10,12.75,20
7,9,2015-04-10,76.25,10
9,10,2015-04-13,59.04,4
5,10,2015-04-14,12.52,10
5,13,2015-04-14,50.42,20
4,8,2015-04-06,20.17,16
2,9,2015-04-10,72.44,18
7,2,2015-04-03,52.81,16
2,6,2015-04-06,84.47,18
3,12,2015-04-09,34.19,14
6,12,2015-04-10,22.64,15
1,13,2015-04-11,36.54,2
1,8,2015-04-09,38.75,15
7,2,2015-04-03,71.60,6
0,14,2015-04-05,57.68,1
9,4,2015-04-14,23.04,15
0,10,2015-04-13,69.33,18
0,14,2015-04-02,53.51,13
11,1,2015-04-03,76.53,4
3,2,2015-04-14,53.57,15
7,6,2015-04-11,13.63,8
9,10,2015-04-01,75.19,9
10,14,2015-04-08,23.88,3
9,5,2015-04-07,39.17,8
4,10,2015-04-07,39.55,10
4,11,2015-04-04,33.63,7
5,2,2015-04-05,71.36,18
6,9,2015-04-07,92.79,4
10,9,2015-04-07,87.05,6
7,9,2015-04-13,82.03,6
8,13,2015-04-06,25.44,12
4,5,2015-04-08,18.57,8
6,4,2015-04-02,48.24,9
8,1,2015-04-09,80.72,18
8,2,2015-04-04,19.32,16
8,13,2015-04-09,28.77,16
2,3,2015-04-06,40.90,6
1,3,2015-04-14,37.99,13
9,10,2015-04-13,55.74,18
4,4,2015-04-10,81.50,18
11,8,2015-04-02,78.43,3
1,7,2015-04-01,39.01,12
11,11,2015-04-14,64.97,19
2,0,2015-04-07,65.52,2
7,1,2015-04-07,49.17,7
9,8,2015-04-10,97.41,7
10,6,2015-04-06,66.84,15
6,8,2015-04-10,75.97,17
10,2,2015-04-11,83.63,3
3,0,2015-04-12,70.55,20
0,2,2015-04-06,64.04,10
3,9,2015-04-13,88.82,4
11,3,2015-04-12,15.80,10
3,13,2015-04-05,63.34,20
1,12,2015-04-05,83.75,16
2,6,2015-04-07,35.03,18
1,11,2015-04-09,72.14,16
3,7,2015-04-06,45.77,18
5,12,2015-04-02,95.22,14
0,5,2015-04-06,90.99,15
9,1,2015-04-13,35.40,2
4,12,2015-04-13,11.30,15
1,4,2015-04-14,49.00,6
2,8,2015-04-12,28.92,1
9,4,2015-04-01,90.18,15
7,5,2015-04-13,29.69,18
2,14,2015-04-09,16.96,13
6,2,2015-04-12,52.16,4
11,4,2015-04-05,54.54,15
6,3,2015-04-06,23.01,8
3,11,2015-04-13,12.33,9
3,0,2015-04-12,3.25,3
5,6,2015-04-07,56.51,8
1,13,2015-04-14,59.67,10
9,4,2015-04-14,28.93,7
3,10,2015-04-08,28.02,18
11,1,2015-04-08,5.22,4
10,1,2015-04-01,60.93,6
0,6,2015-04-13,16.63,6
5,13,2015-04-12,6.99,12
9,12,2015-04-02,90.86,8
9,4,2015-04-14,37.28,9
8,4,2015-04-07,66.89,18
8,10,2015-04-10,61.20,16
11,0,2015-04-11,13.10,16
10,0,2015-04-06,75.89,6
0,12,2015-04-13,8.79,13
0,14,2015-04-03,7.75,18
11,5,2015-04-12,84.58,18
6,5,2015-04-14,22.61,3
10,13,2015-04-03,42.50,12
6,9,2015-04-07,84.82,19
5,14,2015-04-09,90.53,2
4,4,2015-04-12,19.68,7
3,0,2015-04-10,54.85,7
7,9,2015-04-10,58.24,15
11,14,2015-04-13,73.11,17
2,11,2015-04-11,96.83,3
0,5,2015-04-05,31.03,20
5,6,2015-04-04,39.90,10
8,8,2015-04-07,11.23,4
10,13,2015-04-14,57.35,10
7,6,2015-04-11,1.41,20
3,3,2015-04-07,77.34,16
3,3,2015-04-11,53.88,18
10,14,2015-04-13,56.29,16
5,12,2015-04-05,82.50,18
1,0,2015-04-04,76.15,14
5,3,2015-04-05,75.57,15
7,0,2015-04-12,92.29,2
11,0,2015-04-09,73.91,15
6,6,2015-04-08,14.32,6
3,13,2015-04-05,64.76,1
2,2,2015-04-14,91.91,15
4,0,2015-04-14,19.19,18
9,4,2015-04-13,75.67,13
4,9,2015-04-14,37.86,4
8,4,2015-04-09,96.85,15
8,10,2015-04-09,92.76,8
4,0,2015-04-14,9.45,9
4,6,2015-04-12,68.24,3
9,11,2015-04-06,81.17,8
1,2,2015-04-06,53.84,10
9,3,2015-04-14,31.60,7
5,6,2015-04-05,15.45,18
8,0,2015-04-01,79.28,4
0,12,2015-04-14,79.30,6
8,5,2015-04-05,18.45,6
10,13,2015-04-03,44.99,12
8,4,2015-04-10,75.68,8
8,7,2015-04-12,51.62,9
11,3,2015-04-09,15.18,18
6,7,2015-04-06,65.17,16
4,14,2015-04-05,62.88,16
11,0,2015-04-11,27.57,6
5,9,2015-04-03,2.33,13
8,5,2015-04-03,4.75,18
8,4,2015-04-07,80.65,18
3,3,2015-04-12,18.46,3
4,3,2015-04-11,36.06,12
0,4,2015-04-09,13.07,19
4,4,2015-04-06,2.31,2
3,5,2015-04-01,71.10,7
7,1,2015-04-07,38.14,7
3,3,2015-04-08,61.40,15
7,2,2015-04-02,11.48,17
9,11,2015-04-08,3.70,3
8,6,2015-04-14,77.83,20
9,12,2015-04-07,36.60,10
1,7,2015-04-10,86.87,4
5,8,2015-04-08,70.17,10
0,3,2015-04-02,71.70,20
11,8,2015-04-14,47.98,16
2,11,2015-04-11,87.85,18
7,5,2015-04-01,84.78,16
3,11,2015-04-14,4.32,18
11,10,2015-04-04,54.06,14
5,7,2015-04-09,31.16,15
4,14,2015-04-05,47.44,2
3,3,2015-04-13,86.80,15
11,5,2015-04-01,67.39,6
5,1,2015-04-10,22.05,1
1,14,2015-04-08,43.81,15
8,6,2015-04-14,80.15,18
10,14,2015-04-13,81.74,13
7,12,2015-04-11,84.12,4
3,2,2015-04-03,70.90,15
11,11,2015-04-01,43.60,8
3,1,2015-04-04,50.35,9
1,4,2015-04-02,78.15,3
1,2,2015-04-05,66.45,8
4,10,2015-04-06,2.37,10
1,10,2015-04-01,70.80,7
7,2,2015-04-01,31.57,18
7,1,2015-04-04,31.21,4
4,11,2015-04-03,87.32,6
9,7,2015-04-14,62.97,6
0,4,2015-04-07,63.88,12
6,0,2015-04-10,50.05,8
6,3,2015-04-06,32.88,9
9,12,2015-04-03,61.98,18
7,3,2015-04-09,34.03,16
4,14,2015-04-04,90.70,16
1,1,2015-04-14,91.64,6
4,4,2015-04-11,23.71,13
5,11,2015-04-10,47.44,18
3,14,2015-04-01,91.60,18
8,9,2015-04-11,15.01,3
0,12,2015-04-14,68.60,12
3,4,2015-04-05,52.59,19
6,2,2015-04-13,21.87,2
7,9,2015-04-13,81.93,7
7,12,2015-04-11,68.18,7
7,3,2015-04-13,90.26,15
1,1,2015-04-14,73.63,17
7,14,2015-04-01,81.91,3
2,10,2015-04-04,69.10,20
2,11,2015-04-08,4.64,10
8,7,2015-04-09,32.31,4
5,5,2015-04-07,47.04,10
8,4,2015-04-10,57.84,20
11,1,2015-04-06,66.34,16
6,8,2015-04-09,9.27,18
3,5,2015-04-02,45.98,16
5,2,2015-04-12,60.50,18
4,0,2015-04-12,66.44,14
9,14,2015-04-09,26.70,15
0,4,2015-04-09,16.29,2
6,4,2015-04-02,63.89,15
4,1,2015-04-10,34.50,6
8,6,2015-04-14,96.22,1
7,4,2015-04-05,47.14,15
3,13,2015-04-04,13.53,18
3,2,2015-04-14,60.10,13
10,7,2015-04-03,58.21,4
5,9,2015-04-02,37.47,15
2,0,2015-04-10,76.75,8
8,5,2015-04-05,30.09,9
4,2,2015-04-06,44.55,3
5,12,2015-04-02,82.46,8
5,0,2015-04-06,14.73,10
9,5,2015-04-05,12.49,7
7,10,2015-04-05,29.37,18
4,1,2015-04-11,100.78,4
2,3,2015-04-09,26.63,6
1,12,2015-04-01,11.75,6
8,3,2015-04-12,10.32,12
11,5,2015-04-13,26.74,8
0,7,2015-04-08,75.98,9
4,7,2015-04-10,35.63,18
7,4,2015-04-09,6.21,16
1,8,2015-04-10,83.95,16
3,13,2015-04-06,30.25,6
8,9,2015-04-14,15.87,13
8,3,2015-04-14,30.92,18
5,7,2015-04-14,57.84,18
9,6,2015-04-06,72.42,3
9,12,2015-04-02,95.16,12
11,2,2015-04-05,11.24,19
4,10,2015-04-09,86.76,2
0,11,2015-04-06,87.49,7
5,7,2015-04-10,20.87,7
11,0,2015-04-08,9.53,15
1,3,2015-04-04,16.86,17
6,2,2015-04-12,49.82,3
10,13,2015-04-02,62.62,20
5,9,2015-04-04,80.77,10
8,4,2015-04-10,70.73,4
6,6,2015-04-03,56.12,10
4,4,2015-04-10,59.13,20
0,6,2015-04-14,75.88,16
8,6,2015-04-14,75.82,18
8,2,2015-04-02,99.98,16
2,0,2015-04-06,89.42,18
7,6,2015-04-11,12.49,14
8,5,2015-04-06,80.03,15
2,11,2015-04-11,78.32,2
2,9,2015-04-06,19.02,15
0,10,2015-04-11,18.95,6
2,5,2015-04-12,96.60,1
2,0,2015-04-05,37.86,15
8,8,2015-04-07,100.18,18
4,14,2015-04-05,35.45,13
9,13,2015-04-13,85.08,4
10,14,2015-04-14,48.12,15
1,6,2015-04-07,53.01,8
11,3,2015-04-12,24.70,9
8,9,2015-04-11,17.41,3
1,4,2015-04-01,8.51,8
4,11,2015-04-04,47.98,10
0,11,2015-04-05,5.27,7
2,0,2015-04-07,60.52,18
3,12,2015-04-11,71.17,4
9,10,2015-04-10,49.22,6
4,9,2015-04-02,57.12,6
1,0,2015-04-05,45.10,12
1,2,2015-04-08,82.55,8
8,2,2015-04-05,1.33,9
10,7,2015-04-05,8.96,18
3,2,2015-04-13,4.48,16
9,13,2015-04-14,50.15,16
4,5,2015-04-04,75.90,6
4,12,2015-04-02,10.00,13
8,3,2015-04-01,21.56,18
1,0,2015-04-05,25.51,18
3,9,2015-04-11,42.70,3
4,6,2015-04-13,20.16,12
8,13,2015-04-10,96.44,19
9,3,2015-04-05,82.92,2
11,7,2015-04-09,68.15,7
1,7,2015-04-13,99.07,7
7,5,2015-04-03,98.18,15
5,3,2015-04-02,90.81,17
8,12,2015-04-12,34.02,3
1,7,2015-04-12,50.59,20
10,14,2015-04-14,34.59,10
7,14,2015-04-01,5.44,4
3,4,2015-04-06,2.66,10
4,11,2015-04-05,12.01,20
6,5,2015-04-13,43.93,16
10,1,2015-04-01,32.67,18
9,14,2015-04-07,85.88,16
6,4,2015-04-05,51.43,18
6,2,2015-04-13,22.41,14
8,11,2015-04-04,58.65,15
6,1,2015-04-04,41.89,2
10,0,2015-04-07,56.56,15
2,6,2015-04-07,44.84,6
6,4,2015-04-13,39.06,1
8,3,2015-04-12,5.06,15
9,9,2015-04-14,9.23,18
4,10,2015-04-12,94.25,13
1,10,2015-04-11,20.06,4
1,2,2015-04-08,85.12,15
9,4,2015-04-12,8.87,8
9,12,2015-04-05,86.63,9
3,13,2015-04-06,34.06,3
10,3,2015-04-07,5.10,8
7,13,2015-04-06,30.57,10
8,10,2015-04-08,9.81,7
1,2,2015-04-07,29.57,18
9,14,2015-04-07,85.18,4
6,4,2015-04-05,59.35,6
10,9,2015-04-06,98.00,6
1,9,2015-04-02,44.97,12
6,8,2015-04-12,26.70,8
8,8,2015-04-03,55.59,9
2,3,2015-04-06,44.36,18
3,2,2015-04-14,51.00,16
5,13,2015-04-14,38.32,16
10,1,2015-04-01,51.22,6
7,9,2015-04-09,4.41,13
11,10,2015-04-06,3.12,18
2,1,2015-04-04,51.57,18
3,12,2015-04-11,74.68,3
11,11,2015-04-03,76.35,12
4,7,2015-04-08,77.57,19
5,0,2015-04-04,62.60,2
10,6,2015-04-04,25.86,7
0,8,2015-04-06,37.06,7
11,12,2015-04-12,54.78,15
0,11,2015-04-08,26.33,17
9,2,2015-04-10,32.49,3
6,11,2015-04-12,52.02,20
1,13,2015-04-11,49.41,10
8,1,2015-04-09,71.82,4
3,7,2015-04-09,69.89,10
2,11,2015-04-08,93.90,20
3,7,2015-04-05,84.70,16
2,8,2015-04-13,86.74,18
11,5,2015-04-02,29.20,16
9,0,2015-04-02,29.02,18
9,14,2015-04-09,28.15,14
1,10,2015-04-10,42.67,15
1,5,2015-04-09,96.04,2
6,13,2015-04-04,23.28,15
9,4,2015-04-14,44.02,6
11,9,2015-04-14,53.96,1
5,9,2015-04-01,80.18,15
1,1,2015-04-12,68.85,18
9,0,2015-04-04,58.94,13
8,10,2015-04-09,78.58,4
9,8,2015-04-06,16.82,15
0,10,2015-04-07,44.76,8
7,11,2015-04-02,27.45,9
7,4,2015-04-06,29.59,3
6,11,2015-04-12,64.66,8
7,5,2015-04-03,19.66,10
4,4,2015-04-11,45.78,7
5,1,2015-04-01,49.55,18
7,7,2015-04-04,26.25,4
11,3,2015-04-12,29.60,6
9,4,2015-04-02,63.93,6
5,7,2015-04-14,71.28,12
4,13,2015-04-09,8.65,8
3,3,2015-04-12,31.34,9
11,13,2015-04-08,88.31,18
10,10,2015-04-14,91.76,16
5,10,2015-04-12,58.18,16
4,5,2015-04-07,61.12,6
4,3,2015-04-02,89.71,13
8,12,2015-04-14,58.66,18
10,8,2015-04-10,91.50,18
6,14,2015-04-13,72.32,3
2,1,2015-04-04,34.15,12
5,7,2015-04-02,94.94,19
1,9,2015-04-03,37.14,2
3,4,2015-04-07,86.55,7
8,12,2015-04-13,17.57,7
5,9,2015-04-02,56.65,15
1,12,2015-04-14,44.92,17
2,8,2015-04-11,59.03,3
1,0,2015-04-05,47.11,20
1,6,2015-04-05,14.97,10
7,10,2015-04-04,59.77,4
8,9,2015-04-14,26.09,10
2,4,2015-04-02,45.62,20
7,11,2015-04-14,74.29,16
7,14,2015-04-03,25.26,18
9,2,2015-04-08,86.56,16
10,12,2015-04-08,82.01,18
8,0,2015-04-13,57.90,14
5,6,2015-04-04,56.25,15
6,12,2015-04-03,41.97,2
7,0,2015-04-12,77.08,15
3,3,2015-04-10,78.08,6
11,6,2015-04-09,75.99,1
5,2,2015-04-11,80.93,15
3,14,2015-04-14,42.52,18
10,1,2015-04-04,68.22,13
0,1,2015-04-08,94.16,4
3,11,2015-04-02,11.56,15
10,2,2015-04-14,76.87,8
8,1,2015-04-06,69.66,9
6,12,2015-04-07,4.55,3
7,14,2015-04-13,56.88,8
5,10,2015-04-01,81.83,10
1,4,2015-04-01,98.87,7
0,1,2015-04-07,22.25,18
6,1,2015-04-04,64.16,4
9,4,2015-04-03,44.03,6
7,11,2015-04-01,45.65,6
4,10,2015-04-11,29.18,12
6,0,2015-04-07,50.77,8
10,14,2015-04-12,89.57,9
